sample_id,requested_l0_m,actual_length_angle_deg,direction_angle_deg,rebuild_ok,length_residual_m,point1_x_m,point1_y_m,point1_z_m,point2_x_m,point2_y_m,point2_z_m,point2_drift_m,mass_kg,volume_m3,surface_area_m2,com_x_m,com_y_m,com_z_m,icom_xx_kg_m2,icom_xy_kg_m2,icom_xz_kg_m2,icom_yx_kg_m2,icom_yy_kg_m2,icom_yz_kg_m2,icom_zx_kg_m2,icom_zy_kg_m2,icom_zz_kg_m2,iorigin_xx_kg_m2,iorigin_xy_kg_m2,iorigin_xz_kg_m2,iorigin_yx_kg_m2,iorigin_yy_kg_m2,iorigin_yz_kg_m2,iorigin_zx_kg_m2,iorigin_zy_kg_m2,iorigin_zz_kg_m2,principal_i1_kg_m2,principal_i2_kg_m2,principal_i3_kg_m2,principal_axis1_x,principal_axis1_y,principal_axis1_z,principal_axis2_x,principal_axis2_y,principal_axis2_z,principal_axis3_x,principal_axis3_y,principal_axis3_z
"kinematic_min",0.10576914099936059,24.331015680296069,28.275434051813985,1,0,0.051500000000000025,-0.10539081798635419,-0.0089379344319396037,0.059500000000000025,6.5225602696727947E-16,-2.688821387764051E-16,0,1.6409073231960014,0.000547058294565851,0.2638037286397194,0.046242786809203393,-0.0024062094807648163,0.086568999776174091,0.014620930083686662,-7.076806006853337E-05,0.00024562815870741116,-7.076806006853337E-05,0.013191799434664697,0.0016829020800520919,0.00024562815870741116,0.0016829020800520919,0.002054858159429269,0.026927704759683948,-0.00025335154230931385,0.0068144949010208178,-0.00025335154230931385,0.028997982073107421,0.0013410959190512277,0.0068144949010208178,0.0013410959190512277,0.0055732673169286108,0.0018018885630923125,0.013431153395076756,0.014634545719611522,0.018146415820220238,0.14603246270122408,0.9891133541866145,0.088333975253008554,-0.98564196494731027,0.14389935979984905,0.995925607868821,0.084761056931949144,-0.030785496892178656
"lookup_11cm",0.11,25.469777926576217,28.275434051813985,1,-1.5668116942757493E-09,0.0515,-0.10965649366953054,-0.0086863715903622851,0.0595,-9.9920072216264089E-16,3.2265856653168612E-16,1.7544230311589373E-15,1.6409073231960014,0.0005470582945658511,0.2638037286397194,0.046242786809203372,-0.0046313337973272707,0.086622871282137137,0.014673833551578483,-8.1722142275601119E-05,0.00024675887467229203,-8.1722142275601119E-05,0.013233089254629073,0.0015102022931951825,0.00024675887467229203,0.0015102022931951825,0.0020664718073567221,0.027021613706712834,-0.000433148341405468,0.0068197133937278774,-0.000433148341405468,0.029054581733833948,0.0008519040263109171,0.0068197133937278774,0.0008519040263109171,0.0056105766032309755,0.0018615646566068672,0.013423462549391134,0.014688367407566237,0.018250340403758482,0.13149890100708883,0.99114830580951652,0.090069544784689579,-0.98749908026992927,0.1293562660574378,0.99576824722292989,0.08691148082947206,-0.029866240516720082
"lookup_12cm",0.12,28.148348415433407,28.275434051813985,1,-7.7376282547891861E-08,0.051500000000000025,-0.11970351004903727,-0.0084291821452881222,0.059500000000000025,-1.0200174038743626E-15,2.8796409701215E-16,1.7625482001382995E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203414,-0.0098382922914303037,0.08659644159720338,0.014794529639208456,-0.00010747120964765331,0.000248680150881286,-0.00010747120964765331,0.013290844549251266,0.0010951022786645573,0.000248680150881286,0.0010951022786645573,0.0021294126003645079,0.027258427962108502,-0.00085400208330251677,0.0068196291820737864,-0.00085400208330251677,0.029104824738354212,-0.0003028869356899791,0.0068196291820737864,-0.0003028869356899791,0.0057971478541063975,0.0020185803184081183,0.013385137704658987,0.014811068765757086,0.018558711883985276,0.0965029795216218,0.99515966013331569,0.092243542525510189,-0.9912512625735842,0.094403725078090264,0.995563510317424,0.090045040894680545,-0.027298123282080949
"lookup_13cm",0.13,30.816510622449233,28.275434051813985,1,-1.3673686433124388E-08,0.051500000000000053,-0.12971255041378496,-0.0086400642354831914,0.059500000000000053,-1.0269562977782698E-15,2.42861286636753E-16,1.7556781416332264E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203434,-0.014984728959839932,0.086350449853318689,0.014912417783787241,-0.00013308179786535336,0.00024952830216390994,-0.00013308179786535336,0.013296573226884873,0.00067420203655418117,0.00024952830216390994,0.00067420203655418117,0.0022415720673096811,0.027516132239563215,-0.0012701249421938419,0.0068018114484615227,-0.0012701249421938419,0.02904074346309584,-0.00144903044553005,0.0068018114484615227,-0.00144903044553005,0.0061189334068194809,0.0021960388420465484,0.013323800972995145,0.014930723262940059,0.018951276490805323,0.060387027148046252,0.99799511826040022,0.092441374121045417,-0.99400461806042184,0.058390167195923423,0.99553776496423385,0.091149471895212317,-0.024419916118650662
"lookup_14cm",0.14,33.481676089197883,28.275434051813985,1,3.1435706815408082E-10,0.051500000000000053,-0.13968972436679958,-0.0093156317202770234,0.059500000000000053,-1.0408340855860843E-15,1.8388068845354155E-16,1.7528030918859572E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203434,-0.020080485581248392,0.085881546153941626,0.015030340321921477,-0.00015860037089018711,0.00024928335188432424,-0.00015860037089018711,0.013253595824492396,0.00025231872687004822,0.00024928335188432424,0.00025231872687004822,0.0024024720078363836,0.027794738295756134,-0.0016823101774631213,0.0067659860256785061,-0.0016823101774631213,0.028865246024152975,-0.002577496755884613,0.0067659860256785061,-0.002577496755884613,0.0065730369019552579,0.0023918371373737239,0.01324438273732482,0.015050188279551671,0.019427386282545565,0.022935837157434375,0.99954815993833768,0.0913538607617856,-0.99559557315718339,0.021069571275558956,0.99562897144777041,0.090903256727727977,-0.0214370970550522
"lookup_15cm",0.15,36.149649688146262,28.275434051813985,1,-9.7264909182381842E-09,0.051500000000000018,-0.1496351310815871,-0.010455841824041578,0.059500000000000004,-1.0547118733938987E-15,1.3877787807814457E-16,1.7550952784515113E-15,1.6409073231960014,0.0005470582945658511,0.2638037286397194,0.046242786809203393,-0.025130603164104093,0.085186886553031207,0.015150209936832078,-0.00018405108868058671,0.00024792545598173406,-0.00018405108868058671,0.013164159603638896,-0.00016582220878635557,0.00024792545598173406,-0.00016582220878635557,0.0026117778436004972,0.02809426590618129,-0.002090964461432681,0.0067119172706756854,-0.002090964461432681,0.02858081368228025,-0.003678673063154861,0.0067119172706756854,-0.003678673063154861,0.0071569968542531358,0.0026041584747780416,0.013150585840904705,0.015171403068388682,0.019990137400636345,-0.016046108785779657,0.99967140441223923,0.089455588359643373,-0.99583221852522152,-0.01777330184196925,0.99579018478690273,0.089781484393891789,-0.01847140877398493
"lookup_16cm",0.16,38.825186913974918,28.275434051813985,1,-3.2575178554594686E-08,0.051500000000000018,-0.15954458562966686,-0.012062950393753463,0.059500000000000004,-1.0547118733938987E-15,9.0205620750793969E-17,1.744453142432665E-15,1.6409073231960014,0.0005470582945658511,0.2638037286397194,0.046242786809203393,-0.030136724862552592,0.08426377476820951,0.015273356793650897,-0.00020944206177857448,0.00024543392038420627,-0.00020944206177857448,0.013029965362460511,-0.00057556659291269562,0.00024543392038420627,-0.00057556659291269562,0.0028691189415977008,0.02841473690232417,-0.0024962205873906478,0.0066393798951304758,-0.0024962205873906478,0.028189945595926639,-0.0047425427620177039,0.0066393798951304758,-0.0047425427620177039,0.0078683359367496264,0.0028313156460205257,0.013045399237427922,0.015295726214260619,0.020645575586811266,-0.056756531484858062,0.99817456205941146,0.087060935223820385,-0.99449279368484256,-0.058347895136595912,0.99598903295500352,0.0881066367688936,-0.015590599431427564
"lookup_17cm",0.17,41.512377010050727,28.275434051813985,1,-6.313048128703258E-08,0.051500000000000046,-0.16941078423675637,-0.014140888229806942,0.059500000000000039,-1.0408340855860843E-15,4.163336342344337E-17,1.7213850816498977E-15,1.6409073231960016,0.0005470582945658511,0.2638037286397194,0.046242786809203434,-0.035098049032468888,0.083109478603587333,0.015400734225484486,-0.00023476963403550559,0.00024178678240154288,-0.00023476963403550559,0.012852481092583903,-0.00097230786916781525,0.00024178678240154288,-0.00097230786916781525,0.0031739806433078882,0.028756174888655679,-0.0028980140703299467,0.0065481446169801949,-0.0028980140703299467,0.027695440813486065,-0.0057588026236380123,0.0065481446169801949,-0.0057588026236380123,0.008704278705521715,0.0030716204111461277,0.01293143827676704,0.015424137273463067,0.021402301142494563,-0.0994076743187958,0.9948165940475332,0.084372617926870647,-0.99131523947209466,-0.10087297623521321,0.99620439812820161,0.086094194211409028,-0.012829141558027333
"lookup_18cm",0.18,44.214891334116253,28.275434051813985,1,-9.9154788490984913E-08,0.05150000000000006,-0.17922400833794411,-0.016694883634422036,0.059500000000000053,-1.0443035325380379E-15,-1.0408340855860843E-17,1.7163605143262012E-15,1.6409073231960016,0.000547058294565851,0.2638037286397194,0.046242786809203434,-0.040011935481050372,0.081721129297844877,0.01553304434795158,-0.00026002110500635364,0.00023696061283242211,-0.00026002110500635364,0.012633137948319717,-0.0013514650086850822,0.00023696061283242211,-0.0013514650086850822,0.0035256339100391792,0.029118604992666351,-0.0032961318716390061,0.0064379703250487383,-0.0032961318716390061,0.027100588400675751,-0.0067169374994819637,0.0064379703250487383,-0.0067169374994819637,0.0096615612223427075,0.0033232646217856423,0.01281119052368747,0.01555736106083732,0.022271245772608021,-0.14423247821294075,0.9892931738571179,0.081517305428732867,-0.98598173683395873,-0.14558483281416734,0.99642306302462458,0.083886869404239561,-0.010201598609104669
"lookup_19cm",0.19,46.936191486056956,28.275434051813985,1,-2.0573542869328776E-12,0.051500000000000032,-0.18897268750766028,-0.019731279110863226,0.059500000000000011,-1.0512424264419451E-15,-6.9388939039072284E-17,1.715195939391036E-15,1.6409073231960016,0.00054705829456585121,0.2638037286397194,0.046242786809203414,-0.0448743634922517,0.0800956365830069,0.015670819349413345,-0.00028517683287414356,0.00023093031464998929,-0.00028517683287414356,0.012373455823034276,-0.0017084708807518715,0.00023093031464998929,-0.0017084708807518715,0.0039230910367863917,0.029502059171817686,-0.003690249257054609,0.0063085974323812176,-0.003690249257054609,0.026409295182891073,-0.0076062867833976188,0.0063085974323812176,-0.0076062867833976188,0.010736308619278725,0.0035842053836972385,0.012687211992800285,0.01569594883273644,0.023265469660428178,-0.19148615493158111,0.981219532210299,0.0785698821934768,-0.97809917792640011,-0.1927401664205044,0.99663709118895594,0.081578493545903741,-0.0077108921142802307
